time,area,actual_total_load_mw,total_load_forecast_mw
02/04/2025 23:15 - 02/04/2025 23:30,BZN|NL,12547.7,13459.89
02/04/2025 23:30 - 02/04/2025 23:45,BZN|NL,12358.53,13330.32
02/04/2025 23:45 - 03/04/2025 00:00,BZN|NL,12164.5,13207.67
03/04/2025 00:00 - 03/04/2025 00:15,BZN|NL,11946.52,12893.12
03/04/2025 00:15 - 03/04/2025 00:30,BZN|NL,11750.58,12785.36
03/04/2025 00:30 - 03/04/2025 00:45,BZN|NL,11638.15,12636.78
03/04/2025 00:45 - 03/04/2025 01:00,BZN|NL,11506.57,12468.04
03/04/2025 01:00 - 03/04/2025 01:15,BZN|NL,11351.7,12498.67
03/04/2025 01:15 - 03/04/2025 01:30,BZN|NL,11319.86,12382.57
03/04/2025 01:30 - 03/04/2025 01:45,BZN|NL,11163.77,12246.17
03/04/2025 01:45 - 03/04/2025 02:00,BZN|NL,11108.39,12136.18
03/04/2025 02:00 - 03/04/2025 02:15,BZN|NL,10985.91,11978.58
03/04/2025 02:15 - 03/04/2025 02:30,BZN|NL,10979.69,11885.5
03/04/2025 02:30 - 03/04/2025 02:45,BZN|NL,10815.29,11796.43
03/04/2025 02:45 - 03/04/2025 03:00,BZN|NL,10845.98,11707.07
03/04/2025 03:00 - 03/04/2025 03:15,BZN|NL,10751.13,11635.88
03/04/2025 03:15 - 03/04/2025 03:30,BZN|NL,10646.47,11638.09
03/04/2025 03:30 - 03/04/2025 03:45,BZN|NL,10622.72,11614.53
03/04/2025 03:45 - 03/04/2025 04:00,BZN|NL,10597.47,11564.68
03/04/2025 04:00 - 03/04/2025 04:15,BZN|NL,10674.95,11657.51
03/04/2025 04:15 - 03/04/2025 04:30,BZN|NL,10681.17,11674.9
03/04/2025 04:30 - 03/04/2025 04:45,BZN|NL,10663.04,11648.29
03/04/2025 04:45 - 03/04/2025 05:00,BZN|NL,10658.21,11644.5
03/04/2025 05:00 - 03/04/2025 05:15,BZN|NL,10932.76,11653.45
03/04/2025 05:15 - 03/04/2025 05:30,BZN|NL,10974.09,11685.58
03/04/2025 05:30 - 03/04/2025 05:45,BZN|NL,11103.56,11703.57
03/04/2025 05:45 - 03/04/2025 06:00,BZN|NL,11416.23,11684.22
03/04/2025 06:00 - 03/04/2025 06:15,BZN|NL,11915.41,11763.07
03/04/2025 06:15 - 03/04/2025 06:30,BZN|NL,12208.39,11899.89
03/04/2025 06:30 - 03/04/2025 06:45,BZN|NL,12567.03,12029.17
03/04/2025 06:45 - 03/04/2025 07:00,BZN|NL,12895.29,12176.22
03/04/2025 07:00 - 03/04/2025 07:15,BZN|NL,13424.36,12394.67
03/04/2025 07:15 - 03/04/2025 07:30,BZN|NL,13677.53,12621.06
03/04/2025 07:30 - 03/04/2025 07:45,BZN|NL,13876.84,12777.24
03/04/2025 07:45 - 03/04/2025 08:00,BZN|NL,14090.85,12996.27
03/04/2025 08:00 - 03/04/2025 08:15,BZN|NL,14130.5,13114.95
03/04/2025 08:15 - 03/04/2025 08:30,BZN|NL,14062.76,13115.97
03/04/2025 08:30 - 03/04/2025 08:45,BZN|NL,14076.02,13077.73
03/04/2025 08:45 - 03/04/2025 09:00,BZN|NL,14117.72,12974.37
03/04/2025 09:00 - 03/04/2025 09:15,BZN|NL,13802.7,12830.31
03/04/2025 09:15 - 03/04/2025 09:30,BZN|NL,13601.33,12484.11
03/04/2025 09:30 - 03/04/2025 09:45,BZN|NL,13523.4,12028.05
03/04/2025 09:45 - 03/04/2025 10:00,BZN|NL,13556.35,11697.76
03/04/2025 10:00 - 03/04/2025 10:15,BZN|NL,13325.29,11346.66
03/04/2025 10:15 - 03/04/2025 10:30,BZN|NL,13110.53,10784.01
